Matches,Score
Newcastle Jets vs Brisbane Roar,1-0
Melbourne Victory vs Central Coast Mariners,1-0
Adelaide United vs Sydney FC,2-1
Wellington Phoenix vs Auckland FC,0-5
Perth Glory vs Macarthur FC,1-2
Western Sydney Wanderers vs Melbourne City,0-1
Wellington Phoenix vs Melbourne Victory,2-3
Auckland FC vs Brisbane Roar,1-1
Central Coast Mariners vs Newcastle Jets,0-2
Macarthur FC vs Sydney FC,3-0
Adelaide United vs Perth Glory,4-0
Melbourne Victory vs Brisbane Roar,1-1
Western Sydney Wanderers vs Newcastle Jets,1-1
Wellington Phoenix vs Central Coast Mariners,1-2
Melbourne City vs Melbourne Victory,0-0
Sydney FC vs Brisbane Roar,4-0
Central Coast Mariners vs Melbourne City,1-3
Melbourne Victory vs Wellington Phoenix,1-1
Newcastle Jets vs Perth Glory,2-3
Brisbane Roar vs Adelaide United,0-2
Sydney FC vs Auckland FC,2-2
Central Coast Mariners vs Newcastle Jets,0-0
Brisbane Roar vs Perth Glory,1-1
Macarthur FC vs Western Sydney Wanderers,0-4
Wellington Phoenix vs Sydney FC,0-1
Macarthur FC vs Central Coast Mariners,1-3
Adelaide United vs Wellington Phoenix,1-1
Newcastle Jets vs Western Sydney Wanderers,2-1
Sydney FC vs Melbourne Victory,2-2
Auckland FC vs Perth Glory,2-2
Brisbane Roar vs Western Sydney Wanderers,2-2
Wellington Phoenix vs Perth Glory,2-0
Central Coast Mariners vs Adelaide United,1-1
Newcastle Jets vs Auckland FC,1-2
Melbourne Victory vs Macarthur FC,4-1
Sydney FC vs Melbourne City,0-1
Western Sydney Wanderers vs Adelaide United,2-4
Auckland FC vs Macarthur FC,1-2
Brisbane Roar vs Wellington Phoenix,1-2
Melbourne Victory vs Central Coast Mariners,4-1
Sydney FC vs Newcastle Jets,1-2
Perth Glory vs Melbourne City,1-1
Macarthur FC vs Newcastle Jets,3-2
Brisbane Roar vs Sydney FC,0-0
Adelaide United vs Auckland FC,1-1